,bomtitle,bomlink,year,genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
134,Highlander: Endgame,https://www.boxofficemojo.com/release/rl1331267073/?ref_=bo_yld_table_135,2000,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Action,Adventure,Fantasy,Sci-Fi,,,,
135,Ready to Rumble,https://www.boxofficemojo.com/release/rl594380289/?ref_=bo_yld_table_136,2000,"['Comedy', 'Sport']",Comedy,Sport,,,,,,
136,"Crouching Tiger, Hidden Dragon",https://www.boxofficemojo.com/release/rl2739766785/?ref_=bo_yld_table_137,2000,"['Action', 'Adventure', 'Fantasy', 'Romance']",Action,Adventure,Fantasy,Romance,,,,
137,Saving Grace,https://www.boxofficemojo.com/release/rl2456782337/?ref_=bo_yld_table_138,2000,"['Comedy', 'Crime']",Comedy,Crime,,,,,,
138,The Legend of Drunken Master,https://www.boxofficemojo.com/release/rl912164353/?ref_=bo_yld_table_139,2000,"['Action', 'Comedy']",Action,Comedy,,,,,,
139,The World Is Not Enough,https://www.boxofficemojo.com/release/rl3598419457/?ref_=bo_yld_table_140,2000,"['Action', 'Adventure', 'Thriller']",Action,Adventure,Thriller,,,,,
140,Here on Earth,https://www.boxofficemojo.com/release/rl106530305/?ref_=bo_yld_table_141,2000,"['Drama', 'Romance']",Drama,Romance,,,,,,
141,Lucky Numbers,https://www.boxofficemojo.com/release/rl2086700545/?ref_=bo_yld_table_142,2000,"['Comedy', 'Crime']",Comedy,Crime,,,,,,
142,Godzilla 2000,https://www.boxofficemojo.com/release/rl3176433153/?ref_=bo_yld_table_143,2000,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",Action,Adventure,Drama,Sci-Fi,Thriller,,,
143,3 Strikes,https://www.boxofficemojo.com/release/rl2168555009/?ref_=bo_yld_table_144,2000,['Comedy'],Comedy,,,,,,,
144,Digimon: The Movie,https://www.boxofficemojo.com/release/rl2924447233/?ref_=bo_yld_table_145,2000,"['Action', 'Adventure', 'Animation', 'Family', 'Sci-Fi']",Action,Adventure,Animation,Family,Sci-Fi,,,
145,The End of the Affair,https://www.boxofficemojo.com/release/rl2253489665/?ref_=bo_yld_table_146,2000,"['Drama', 'Romance']",Drama,Romance,,,,,,
146,Sleepy Hollow,https://www.boxofficemojo.com/release/rl3480323585/?ref_=bo_yld_table_147,2000,"['Fantasy', 'Horror', 'Mystery']",Fantasy,Horror,Mystery,,,,,
